"African Online Championships, Feb. 2021.  Sections grouped into one.",,,,,,,,,** Uses all turns from 12 to 60 in all games **,,,,,,,,UW = unit weights,,,,,,,,,
Stockfish 7 with unit weights,,,,,,,,,Shortcut for Rapid over eliminating book by 2300+,,,,,,,,EWN = weighted by expectation loss,,,,,,,,,
"Ratings are FIDE Standard via lookup where possible. Sub 175 for G35 Rapid, add 150 for pandemic lag, add 25 for uncertainty = same rating",,,,,,,,,,,,,,,,,,,,,,,,,,
IPR12 = Intrinsic Performance Rating starting at turn 12.,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Move-Match, Equal-Optimal Value, and Average Scaled Difference (MMZ,EVZ,ASDZ) are combined into the official CombZ score by a rule that is now slightly rating-dependent.",,,,,,,,,,,,,,,,,,,,,,,,,,
"ELWZ is like ASDZ but in units of ""expectation loss"" rather than centipawn value.  It is not calibrated and not included in CombZ but is related to an alternative weighting scheme ""EWN"" directed against ""smart cheating.""",,,,,,,,,,,,,,,,,,,,,,,,,,
PredZ is a new provisional test for (un)predictability that is intended to be less dependent on a particular engine.,,,,,,,,,,,,,,,,,,,,,,,,,,
The T2 and T3 tests are not calibrated and are positively biased by 0.30--0.50 on average.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Not calibrated---ignore,,,,,,,
Name,Rating,Rating Used,IPR12,CombZ,PredZ,#turns,wtfactor,IPR diff,2sigma,ChallFaced,s,c,MMZ,EVZ,ASDZ,ELWZ,Engine,Weights,T2Z,T3Z,T3thr50Z,sOfIPR,cOfIPR,CombZ+,Pred+,
AbdelazeezMohamedAbdalla ,2214,2214,2027,0.21,0.49,209,1,-162,315,1961.4,0.009593,0.252275,0.67,0.54,-0.64,-0.62,    SF7,   UW,0.76,0.92,0.80,0.0386650853123623,0.349990645085322,0.21,0.49,0
AdemBarrani              ,1696,1696,1521,0.06,0.42,50,1,-150,895,1811,0.012205,0.231847,0.35,0.25,-0.43,-0.22,    SF7,   UW,0.26,0.50,0.61,0.054048784207982,0.325709513401988,0.06,0.42,0
AdlyAhmed                ,2615,2615,2689,0.21,-0.21,195,1,99,210,2522.4,0.027758,0.425810,0.04,0.07,0.47,0.87,    SF7,   UW,-0.39,0.03,0.03,0.0196449116997716,0.381757659263913,0.21,0.00,0
AlbertoManuel            ,2167,2167,1647,-1.97,-1.30,157,1,-495,410,2126.6,0.056849,0.344601,-1.42,-1.47,-2.54,-2.40,    SF7,   UW,-0.41,-0.38,-1.36,0.0501495535508306,0.331755803109696,0.00,0.00,0
AllamYara                ,1750,1750,2045,1.83,1.18,249,1,320,338,1608.9,0.015787,0.280507,1.80,1.93,1.30,1.48,    SF7,   UW,0.82,0.52,1.35,0.0381313345131953,0.350854400757852,1.83,1.18,0
AmdouniZoubaier          ,2229,2229,2285,0.55,0.70,226,1,81,291,2117.1,0.018768,0.316073,0.61,0.62,0.28,0.04,    SF7,   UW,0.76,0.63,0.17,0.0311032529900604,0.362371143058247,0.55,0.70,0
AmenMiladi               ,1707,1707,1747,0.85,0.91,244,1,65,325,1602.1,0.017648,0.263879,1.06,0.92,0.35,0.18,    SF7,   UW,0.29,0.19,0.51,0.0470872623671751,0.336554445734861,0.85,0.91,0
AminBassem               ,2695,2695,2536,-1.09,-1.28,224,1,-134,276,2573.3,0.031129,0.406423,-0.99,-0.83,-1.18,-1.12,    SF7,   UW,-1.29,-0.95,-0.84,0.0239293856063524,0.374415736047411,0.00,0.00,0
AminaMezioud             ,1979,1979,1968,0.05,-0.20,271,1,14,281,1817.4,0.030616,0.321098,0.26,-0.08,-0.03,0.08,    SF7,   UW,-0.59,0.01,0.32,0.0404211019937936,0.347159445936475,0.05,0.00,0
AndreChinevaRufino       ,1433,1433,1263,-0.32,-0.49,183,1,-145,395,1238.3,0.046593,0.289543,-0.03,-0.39,-0.47,-0.82,    SF7,   UW,-0.71,-1.32,-1.12,0.0621746764511736,0.313329015429063,0.00,0.00,0
